particle_id,longitude,latitude,mass,water_fraction,age_hours
363,70.72061233391736,20.841837891232842,1.0,0.0,36.0
364,70.72549414843373,20.84876452813197,1.0,0.0,36.0
365,70.75312081966534,20.818397983519358,1.0,0.0,36.0
366,70.75303844449216,20.86399673164179,1.0,0.0,36.0
367,70.73954781078564,20.822837343993953,1.0,0.0,36.0
368,70.74318047661579,20.81631367550213,1.0,0.0,36.0
369,70.70637590938547,20.869929998768427,1.0,0.0,36.0
370,70.7348670276491,20.870879221753462,1.0,0.0,36.0
371,70.74838783439225,20.852271792202824,1.0,0.0,36.0
372,70.73772033672797,20.816011219999343,1.0,0.0,36.0
373,70.74636607753482,20.81373932397496,1.0,0.0,36.0
374,70.7311047982352,20.8333068389555,1.0,0.0,36.0
375,70.75768119325048,20.83602841977796,1.0,0.0,36.0
376,70.73806991239343,20.853032465241498,1.0,0.0,36.0
377,70.73086694215056,20.852719893956692,1.0,0.0,36.0
378,70.73022853102728,20.856540878355077,1.0,0.0,36.0
379,70.7312289141959,20.859648144882552,1.0,0.0,36.0
380,70.76664789860169,20.819372328901807,1.0,0.0,36.0
381,70.74904049092268,20.83630269444048,1.0,0.0,36.0
382,70.73729642247555,20.8337730544829,1.0,0.0,36.0
383,70.72436816353738,20.83477638000667,1.0,0.0,36.0
384,70.7275151141924,20.84457497729978,1.0,0.0,36.0
385,70.72617238896865,20.855016384495777,1.0,0.0,36.0
386,70.70876586448249,20.829241226538493,1.0,0.0,36.0
387,70.73031165441346,20.849981554456527,1.0,0.0,36.0
388,70.75593924378869,20.854066644178964,1.0,0.0,36.0
389,70.72433404359342,20.858735223488225,1.0,0.0,36.0
390,70.73401524317315,20.822686233531183,1.0,0.0,36.0
391,70.72032840577052,20.8428647356403,1.0,0.0,36.0
392,70.71648516734206,20.860086679250355,1.0,0.0,36.0
393,70.71233720153523,20.863085822127232,1.0,0.0,36.0
394,70.7520119354948,20.82881626383157,1.0,0.0,36.0
395,70.73675397937006,20.826390919217843,1.0,0.0,36.0
